id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL005252	0	0	0	0
AAEL025646	0	0	0	0
AAEL021993	0	0	0	0
AAEL022673	0	0	0	0
AAEL026273	0	0	0	0
AAEL021486	0	0	0	0
AAEL025203	0	0	0	0
AAEL025956	0	0	0	0
AAEL026405	0	0	0	0
AAEL022394	0	0	0	0
AAEL026841	0	0	0	0
AAEL004489	51	81	32	62
AAEL023273	0	0	0	0
AAEL004503	93	60	196	82
AAEL027764	0	0	0	0
AAEL025489	0	0	0	0
AAEL021402	0	0	0	0
AAEL027762	0	0	0	0
AAEL003541	3	3	2	3
AAEL024393	0	0	0	0
AAEL020231	0	0	0	0
AAEL025059	0	0	0	0
AAEL020692	0	0	0	0
AAEL021915	3	8	18	3
AAEL026688	0	0	0	0
AAEL023108	0	0	0	0
AAEL027335	204	253	418	827
AAEL024298	11	15	8	14
AAEL028734	0	0	0	0
AAEL020564	0	0	0	0
AAEL024898	0	0	0	0
AAEL022357	0	0	0	0
AAEL027782	0	0	0	0
AAEL020945	0	0	0	0
AAEL024119	0	0	0	0
AAEL024679	0	0	0	0
AAEL023734	0	0	0	0
AAEL020082	0	0	0	0
AAEL027715	1	4	2	1
AAEL023934	0	0	0	0
AAEL026873	0	0	0	0
AAEL027305	0	0	0	0
AAEL020194	0	0	3	0
AAEL023966	0	0	0	0
AAEL025057	1	0	0	0
AAEL028823	0	0	0	0
AAEL023099	3	5	1	0
AAEL026239	0	0	0	0
AAEL028772	0	0	0	0
AAEL026632	0	0	0	0
AAEL027561	0	0	0	0
AAEL023102	1	0	0	0
AAEL020119	0	0	0	0
AAEL026685	0	0	0	0
AAEL021809	0	0	0	0
AAEL020701	0	0	0	0
AAEL025432	0	0	0	0
AAEL022739	0	0	0	0
AAEL023886	0	0	0	0
AAEL026213	0	0	0	0
AAEL020981	0	0	0	0
AAEL023569	0	0	0	0
AAEL021944	0	1	0	0
AAEL024737	0	1	0	0
AAEL007880	0	0	0	0
AAEL024676	2	8	4	7
AAEL026393	0	0	0	0
AAEL009825	0	0	0	1
AAEL021392	0	0	0	0
AAEL022274	0	0	0	0
AAEL022632	160	47	49	58
AAEL021759	0	0	0	0
AAEL024619	0	0	0	0
AAEL024104	5	10	3	1
AAEL019291	0	0	0	0
AAEL019292	0	0	0	0
AAEL024996	0	0	0	0
AAEL021484	0	0	0	0
AAEL003339	0	0	0	0
AAEL026378	2	1	0	3
AAEL025835	3	7	3	9
AAEL023255	19	26	5	16
AAEL020346	0	0	0	0
AAEL027080	0	0	0	0
AAEL025630	0	0	0	0
AAEL028218	0	0	0	0
AAEL022153	0	0	0	0
AAEL020047	0	0	0	0
AAEL024876	0	0	0	0
AAEL021272	0	0	0	0
AAEL006772	12	25	4	17
AAEL024450	0	0	0	0
AAEL010008	0	0	0	0
AAEL010013	0	0	0	0
AAEL022423	0	0	0	0
AAEL024751	0	0	0	0
AAEL023893	0	0	0	0
AAEL024321	32	44	20	39
AAEL021767	12	11	4	17
AAEL027127	0	0	0	0
AAEL025457	0	0	0	0
AAEL023627	0	0	0	0
AAEL028133	0	0	0	0
AAEL020609	0	0	0	0
AAEL027316	1	6	10	0
AAEL025421	6	8	4	8
AAEL020210	0	0	0	0
AAEL024964	0	1	0	3
AAEL026812	0	0	0	1
AAEL020197	11	17	23	15
AAEL022585	7	4	0	1
AAEL028020	0	0	0	0
AAEL021797	0	0	0	0
AAEL020080	3	1	0	1
AAEL010461	27	18	25	30
AAEL026616	0	0	0	0
AAEL023963	0	0	0	2
AAEL020239	0	0	0	0
AAEL024868	14	4	1	3
AAEL027040	0	0	0	0
AAEL023558	78	109	67	81
AAEL025360	0	0	0	0
AAEL027515	0	0	0	0
AAEL028920	0	0	0	0
AAEL028715	0	0	0	0
AAEL028121	2	5	5	3
AAEL025746	0	0	4	0
AAEL005939	34	40	18	38
AAEL028832	0	0	0	0
AAEL022203	0	0	0	0
AAEL020891	0	0	0	0
AAEL000236	0	0	0	0
AAEL020447	0	0	0	0
AAEL026042	0	0	0	0
AAEL008494	1	0	2	0
