logFC	logCPM	PValue	FDR
AAEL001650	-3.4493150480349	4.27152086385944	6.79955902465362e-09	0.000134032907493972
AAEL003748	-2.92100888157089	3.76657422956271	1.86751193599253e-06	0.0184061976411424
AAEL023247	-4.94923215104778	0.902421726749966	7.53357432554797e-06	0.0355169577439274
AAEL003726	-2.72301126867082	2.97887515625509	7.69571253926644e-06	0.0355169577439274
AAEL002518	-3.55884861658222	1.79391160179022	9.00896858358549e-06	0.0355169577439274
AAEL026109	2.41050519850985	4.03159811786052	1.38219661483964e-05	0.0393557497002631
AAEL001151	2.08550519766819	4.64537218467568	1.39757633878775e-05	0.0393557497002631
AAEL026770	4.94750248228225	1.5024931174455	1.8350633837861e-05	0.0423145898158142
AAEL009323	-2.59867146360286	4.65184548060798	1.93197701066522e-05	0.0423145898158142
AAEL006126	-1.88914807170427	6.11674669096591	2.52028407993388e-05	0.0496798397836567
AAEL024456	1.71356271644737	8.35464202042309	3.07098662256222e-05	0.0550320802763149
AAEL006109	6.88043839041627	0.458679661555388	4.0923438222566e-05	0.0646996854837034
AAEL007806	-3.2634504259601	1.73353124136583	4.26692325125885e-05	0.0646996854837034
AAEL019954	-2.13615449214199	4.61402528185553	4.94469787364098e-05	0.069621346060865
AAEL006349	4.77383913656788	0.613707519572859	6.10745171503354e-05	0.080260058804494
AAEL012339	-3.05776274431276	2.15988939325761	7.06344002612204e-05	0.0830360836582389
AAEL008789	1.5986347776968	7.5963551499249	7.16118822133757e-05	0.0830360836582389
AAEL025618	1.5568627440409	7.84107636857185	0.00012224916124887	0.132986802002418
AAEL006985	-3.63644679706448	1.35891201119036	0.000128183301443077	0.132986802002418
AAEL021666	-2.79175965270908	2.43207505117726	0.000141419584906852	0.139383142884193
AAEL021515	-2.82828608032313	2.07442589253456	0.000153942701581472	0.144500882551142
AAEL025367	1.55686197320903	6.99902904831217	0.000169322980755851	0.151713390757243
AAEL020040	7.33500540993231	0.838744395891868	0.000215471732856008	0.180143268306564
AAEL021664	1.77222120144219	4.39077283774987	0.000219330277970655	0.180143268306564
AAEL018687	1.56428616004089	7.41839674030814	0.000251859579679498	0.19858624138569
AAEL003160	1.54358682768659	10.1638404027706	0.000299936066763903	0.22739768261731
AAEL026895	-8.35088941762128	1.74826247806151	0.000318531595942747	0.230159325223387
AAEL026102	-4.38353578909195	0.459945989011925	0.000326930859692311	0.230159325223387
AAEL027976	-6.75550124281759	0.425068057960757	0.000364777283894186	0.2479479248318
AAEL022158	6.59082092375986	0.236696705296716	0.000420392461428713	0.264792617525844
AAEL006372	-1.8602925941624	4.93336881034684	0.000421745017731292	0.264792617525844
AAEL005482	1.66957814533286	6.0574610910903	0.000439120686041117	0.264792617525844
AAEL002696	1.47941386121568	6.01256083419033	0.000443291212375855	0.264792617525844
AAEL023532	-2.24962459557152	4.38173058754072	0.000515844233725279	0.299068280446844
AAEL011751	-2.19149396907735	2.97991208926056	0.000535471948648953	0.30157780147909
AAEL018681	1.3920603308506	5.93523287783515	0.000661851555923612	0.362400496399062
AAEL009165	-1.56357847405278	9.18018779281191	0.000720674854963502	0.377801589157058
AAEL020147	4.3280177656055	0.286589127457109	0.000739240360195706	0.377801589157058
AAEL002587	1.38162574903255	6.69433592285597	0.000753117910419073	0.377801589157058
AAEL022900	-4.12805216900813	0.279033175249339	0.000766642835140133	0.377801589157058
AAEL009330	-1.92511706511704	6.27224733134208	0.000823561855641919	0.395952470693012
AAEL024592	-2.17136967318	2.91041856093347	0.000878429205662337	0.410661248229612
AAEL011453	1.66109357187235	5.08122682441894	0.00093620354221866	0.410661248229612
AAEL008079	-1.39205897368755	7.38194674854369	0.000945872267022029	0.410661248229612
AAEL025002	5.99961409033876	-0.192861986813056	0.000959536894703993	0.410661248229612
AAEL014516	1.2064786414497	9.88140363435231	0.000963793630122366	0.410661248229612
AAEL008785	1.37533734225896	8.09952948901555	0.00097915374730072	0.410661248229612
AAEL019810	-3.16281794766663	0.658990024437906	0.00103775842612032	0.426172793660078
AAEL005826	-1.64316604074171	4.09894586177457	0.00106225699676617	0.427330814699077
AAEL005656	3.05872583502425	0.757838900373069	0.00116208798840182	0.458141568547534
AAEL004092	-2.09832165525264	3.20801972026354	0.00133989655429588	0.517883154476085
AAEL021072	1.74837885031869	4.40038219845318	0.00141924893876142	0.534991744088627
AAEL027335	1.44717122283634	6.00354502166854	0.00145854973998908	0.534991744088627
AAEL024345	-5.1312377636377	1.8284371535108	0.00146558209115188	0.534991744088627
AAEL024241	5.89937799123678	-0.258863800243041	0.00151931427104809	0.544522234743635
AAEL010139	1.3514216306004	5.19569749647148	0.00160061625143688	0.548088162840808
AAEL011578	-6.29834561806337	0.0830121075464419	0.00160721606799403	0.548088162840808
AAEL004582	-1.70063200909346	3.45019948947665	0.00162557135771814	0.548088162840808
AAEL012702	1.24808475434224	8.38611449359329	0.00164048303610023	0.548088162840808
AAEL022453	-2.02449114212085	2.42869659149456	0.00176735922981099	0.580265945577428
AAEL004673	-4.00547253745824	0.186051316931014	0.00179566876421586	0.580265945577428
AAEL021780	-5.86667536149675	-0.226639548503548	0.00191231745808996	0.598784917698269
AAEL026896	2.0487672763263	2.05633390464377	0.0019250084060074	0.598784917698269
AAEL009750	6.93298352865922	0.483494461979996	0.00194410687564373	0.598784917698269
AAEL011455	1.48852011347247	5.13372138843109	0.00206525650101114	0.626312863814332
AAEL001686	-5.92909340437707	-0.178382010500638	0.00217983654735682	0.651044515477237
AAEL007225	-3.46265978967734	1.22251794726977	0.00231939213139002	0.682385935730747
AAEL020756	-3.00424053823332	2.01997472905096	0.00235651186366965	0.683111203774355
AAEL005379	-2.25476450333752	2.64559725757039	0.0025389683620386	0.725335425398622
AAEL025355	2.26090105890103	2.14389525918278	0.00265528788797317	0.747729069253246
AAEL006360	-3.13019931957927	0.967794311292845	0.00271557040187324	0.753934137489088
AAEL001341	1.33645631963468	4.90802459611914	0.00278664245062233	0.756418695888895
AAEL001654	-2.22040432761343	2.15081477837699	0.00281738164819208	0.756418695888895
AAEL007942	1.73910302838139	2.92488132210598	0.00289073604642359	0.756418695888895
AAEL025531	3.88653007618928	1.92828084242375	0.00294831767419885	0.756418695888895
AAEL003052	-2.51926345240839	1.33143575147313	0.00295475215575326	0.756418695888895
AAEL026142	-3.85447342974188	0.721592772064347	0.00297237295806363	0.756418695888895
AAEL021363	5.69286659531087	-0.393638907926984	0.00299313404420322	0.756418695888895
AAEL007892	-1.19103114155008	6.37612008383025	0.00319885445264922	0.798174923678751
AAEL024339	-2.68220297336667	0.6300299307526	0.00337104581471355	0.830625688745419
AAEL010434	-1.49566026388038	9.00244429800946	0.00345951745101308	0.841402630627692
AAEL012975	-1.71207347932838	4.01469888148309	0.00350015298860951	0.841402630627692
AAEL004239	-1.69517808888986	3.03346487287498	0.00367316967758871	0.872355670899141
AAEL006920	1.33179958889487	5.0107218027189	0.00400838060797059	0.940633316003765
AAEL022625	6.9984359719888	0.564455583144517	0.00418412950824809	0.970324245489251
AAEL013276	1.41219716663134	5.23761247986643	0.00428282529712291	0.976057896082517
AAEL019661	-2.96737710654456	1.6885625798864	0.00432969930280534	0.976057896082517
AAEL006338	2.32249604634761	2.9291993943282	0.00438665821234654	0.976057896082517
AAEL004240	-2.63142453446522	0.594710788012289	0.00444253120367136	0.976057896082517
AAEL000223	-1.11811775663437	7.58689153564464	0.00445643317001961	0.976057896082517
